"MOD_NAME","ITM_NAME","PAG_NAME","DSCR","ITM_TYPE","FLD_LEN","DECML","ITM_REQUIRED","ITM_UNIQUE"
"AGE_AT_VISIT","AGE_AT_VISIT",NULL,"Age at Visit","NUMBER","3","1",NULL,NULL
"AGE_AT_VISIT","EVENT_ID",NULL,"Visit ID","TEXT","3",NULL,NULL,NULL
"AGE_AT_VISIT","PATNO",NULL,"Participant ID","NUMBER","18","0",NULL,NULL
"AMBULATORY","age_seconds",NULL,"Participant's pseudo-age in seconds","DATE","0","0",NULL,NULL
"AMBULATORY","subject",NULL,"Participant ID","CHAR","16","0",NULL,NULL
"AMBULATORY","sum_walking_minutes",NULL,"Minutes in the day where the participant is walking, running, going up stairs, etc.","NUMBER","19","0",NULL,NULL
"AMBULATORY","time_day",NULL,"Day of week","CHAR","3","0",NULL,NULL
"AMBULATORY","time_local",NULL,"Time in participant's local time zone","TIME","8","0",NULL,NULL
"AMBULATORY","time_ms",NULL,"Epoch time (Convert all millisecond timestamps in the PST (-7:00) timezone to get the day of week and local time)","CHAR","25","0",NULL,NULL
"AVCNSNT","","AVCNSNT","Early Imaging Documentation of Informed Consent",NULL,NULL,NULL,NULL,NULL
"AVCNSNT","AVCNSTDISC","AVCNSNT","Informed consent was discussed with participant and/or legally authorized representative for the PPMI Early Imaging study.","NUMBER","1",NULL,"False","False"
"AVCNSNT","CNO","AVCNSNT","Site Number","NUMBER","12","0","True","False"
"AVCNSNT","CNSTAUTH","AVCNSNT","Informed consent obtained by person authorized on site delegation log.","NUMBER","1",NULL,"False","False"
"AVCNSNT","CNSTCOPY","AVCNSNT","Copy of the consent form was provided to the participant and/or legally authorized representative upon conclusion of the consent process.","NUMBER","1",NULL,"False","False"
"AVCNSNT","CNSTFORM","AVCNSNT","Consent form was provided to the participant and/or legally authorized representative for review.","NUMBER","1",NULL,"False","False"
"AVCNSNT","CNSTPRIR","AVCNSNT","Consent has been signed prior to any study procedures being performed.","NUMBER","1",NULL,"False","False"
"AVCNSNT","CNSTQA","AVCNSNT","During the informed consent process, the participant and/or authorized representative had the opportunity to ask questions and receive answers by study personnel.","NUMBER","1",NULL,"False","False"
"AVCNSNT","CNSTTIME","AVCNSNT","Participant and/or legally authorized representative were given adequate time to read the consent form and discuss the study with study staff and/or person of participant's choice.","NUMBER","1",NULL,"False","False"
"AVCNSNT","EVENT_ID","AVCNSNT","Visit ID","CHAR","3",NULL,"True","False"
"AVCNSNT","INFODT","AVCNSNT","Assessment Date","DATE",NULL,NULL,"True","False"
"AVCNSNT","LAST_UPDATE","AVCNSNT","Date of most recent update to record","DATE",NULL,NULL,"True","False"
"AVCNSNT","ORIG_ENTRY","AVCNSNT","Date of original data entry","DATE",NULL,NULL,"True","False"
"AVCNSNT","PAG_NAME","AVCNSNT","Page Name","CHAR","12",NULL,"True","False"
"AVCNSNT","PATNO","AVCNSNT","Participant ID","NUMBER","18","0","True","False"
"AVCNSNT","QUERY","AVCNSNT","Any open/pending queries on this record","NUMBER","1",NULL,"False","False"
"AVCNSNT","REC_ID","AVCNSNT","Record ID","CHAR","36",NULL,"True","True"
"AVCNSNT","SIGNCNST","AVCNSNT","Participant and/or legally authorized representative signed and dated the informed consent.","NUMBER","1",NULL,"False","False"
"AVCONCL","","AVCONCL","Early Imaging Conclusion of Study Participation",NULL,NULL,NULL,NULL,NULL
"AVCONCL","CNO","AVCONCL","Site Number","NUMBER","12","0","True","False"
"AVCONCL","EVENT_ID","AVCONCL","Visit ID","CHAR","3",NULL,"True","False"
"AVCONCL","INFODT","AVCONCL","Assessment Date","DATE",NULL,NULL,"True","False"
"AVCONCL","LAST_UPDATE","AVCONCL","Date of most recent update to record","DATE",NULL,NULL,"True","False"
"AVCONCL","ORIG_ENTRY","AVCONCL","Date of original data entry","DATE",NULL,NULL,"True","False"
"AVCONCL","PAG_NAME","AVCONCL","Page Name","CHAR","12",NULL,"True","False"
"AVCONCL","PATNO","AVCONCL","Participant ID","NUMBER","18","0","True","False"
"AVCONCL","QUERY","AVCONCL","Any open/pending queries on this record","NUMBER","1",NULL,"False","False"
"AVCONCL","REC_ID","AVCONCL","Record ID","CHAR","36",NULL,"True","True"
"AVCONCL","WDDT","AVCONCL","Withdrawal date","DATE",NULL,NULL,"False","False"
"AVCONCL","WDRSN","AVCONCL","Reason for withdrawal","NUMBER","12","0","False","False"
"AVCONCL","WDRSNCM","AVCONCL","Other reason for withdrawal comment","CHAR",NULL,NULL,"False","False"
"AVCONCL","WDRSNPD","AVCONCL","Did increasing PD disability contribute to the decision to withdraw from PPMI Early Imaging?","NUMBER","1",NULL,"False","False"
"AVELIG","","AVELIG","Early Imaging Eligibility",NULL,NULL,NULL,NULL,NULL
"AVELIG","AVCNSTDT",NULL,"AV-133 Informed consent date","DATE",NULL,NULL,NULL,NULL
"AVELIG","CNO","AVELIG","Site Number","NUMBER","12","0","True","False"
"AVELIG","EVENT_ID","AVELIG","Visit ID","CHAR","3",NULL,"True","False"
"AVELIG","EXABCOND","AVELIG","Any other medical or psychiatric condition or lab abnormality, which in the opinion of the investigator might preclude participation","NUMBER","1",NULL,"False","False"
"AVELIG","EXAVRX1MO","AVELIG","Received any of the following medications that might interfere with 18F-AV-133 PET imaging: tetrabenazine (TBZ) or methylphenidate, reserpine, or amphetamine derivative, within 1 month prior to the Screening 18F-AV-133 injection.","NUMBER","1",NULL,"False","False"
"AVELIG","EXCARDDX","AVELIG","Have current clinically significant cardiovascular disease or abnormalities on screening ECG (including but not limited to QTc > 450 msec)","NUMBER","1",NULL,"False","False"
"AVELIG","EXRXQTPRO","AVELIG","Are currently taking medications that are known to cause QT-prolongation","NUMBER","1",NULL,"False","False"
"AVELIG","INCNST","AVELIG","Able to provide informed consent","NUMBER","1",NULL,"False","False"
"AVELIG","INEX1",NULL,"Inclusion Exclusion question 1","CHAR","1",NULL,NULL,NULL
"AVELIG","INFODT","AVELIG","Assessment Date","DATE",NULL,NULL,"True","False"
"AVELIG","INPPMI2","AVELIG","Enrolled in PPMI Clinical protocol","NUMBER","1",NULL,"False","False"
"AVELIG","INPREGNT","AVELIG","Women may not be pregnant, lactating or planning pregnancy during the study","NUMBER","1",NULL,"False","False"
"AVELIG","LAST_UPDATE","AVELIG","Date of most recent update to record","DATE",NULL,NULL,"True","False"
"AVELIG","ORIG_ENTRY","AVELIG","Date of original data entry","DATE",NULL,NULL,"True","False"
"AVELIG","PAG_NAME","AVELIG","Page Name","CHAR","12",NULL,"True","False"
"AVELIG","PATNO","AVELIG","Participant ID","NUMBER","18","0","True","False"
"AVELIG","QUERY","AVELIG","Any open/pending queries on this record","NUMBER","1",NULL,"False","False"
"AVELIG","REC_ID","AVELIG","Record ID","CHAR","36",NULL,"True","True"
"AVELIG","SIGNCNST",NULL,"Signed Consent","CHAR","1",NULL,NULL,NULL
"AVIMAG","","AVIMAG","Early Imaging AV-133 Imaging",NULL,NULL,NULL,NULL,NULL
"AVIMAG","CNO","AVIMAG","Site Number","NUMBER","12","0","True","False"
"AVIMAG","DIASUPAF","AVIMAG","Supine BP - diastolic - after injection (mmHg)","NUMBER","12","0","False","False"
"AVIMAG","DIASUPBF","AVIMAG","Supine BP - diastolic - before injection (mmHg)","NUMBER","12","0","False","False"
"AVIMAG","EVENT_ID","AVIMAG","Visit ID","CHAR","3",NULL,"True","False"
"AVIMAG","HRSUPAF","AVIMAG","Supine heart rate - after injection (bpm)","NUMBER","12","0","False","False"
"AVIMAG","HRSUPBF","AVIMAG","Supine heart rate - before injection (bpm)","NUMBER","12","0","False","False"
"AVIMAG","INFODT","AVIMAG","Assessment Date","DATE",NULL,NULL,"True","False"
"AVIMAG","INJECTTM","AVIMAG","Time of Injection","TIME",NULL,NULL,"False","False"
"AVIMAG","INVEVLAF","AVIMAG","Study physician able to evaluate after injection","NUMBER","1",NULL,"False","False"
"AVIMAG","INVEVLAFCM","AVIMAG","Study physician not able to evaluate after injection comment","CHAR",NULL,NULL,"False","False"
"AVIMAG","INVEVLBF","AVIMAG","Study physician able to evaluate before injection","NUMBER","1",NULL,"False","False"
"AVIMAG","INVEVLBFCM","AVIMAG","Study physician not able to evaluate before injection comment","CHAR",NULL,NULL,"False","False"
"AVIMAG","LAST_UPDATE","AVIMAG","Date of most recent update to record","DATE",NULL,NULL,"True","False"
"AVIMAG","ORIG_ENTRY","AVIMAG","Date of original data entry","DATE",NULL,NULL,"True","False"
"AVIMAG","PAG_NAME","AVIMAG","Page Name","CHAR","12",NULL,"True","False"
"AVIMAG","PATNO","AVIMAG","Participant ID","NUMBER","18","0","True","False"
"AVIMAG","PETCMPLT","AVIMAG","AV-133 PET scan completed?","NUMBER","1",NULL,"False","False"
"AVIMAG","PETCMPLTCM","AVIMAG","AV-133 PET scan not completed comment","CHAR",NULL,NULL,"False","False"
"AVIMAG","QUERY","AVIMAG","Any open/pending queries on this record","NUMBER","1",NULL,"False","False"
"AVIMAG","REC_ID","AVIMAG","Record ID","CHAR","36",NULL,"True","True"
"AVIMAG","SYSSUPAF","AVIMAG","Supine BP - systolic - after injection (mmHg)","NUMBER","12","0","False","False"
"AVIMAG","SYSSUPBF","AVIMAG","Supine BP - systolic - before injection (mmHg)","NUMBER","12","0","False","False"
"AVIMAG","VITLTMAF","AVIMAG","Vital Sign Time - after injection","TIME",NULL,NULL,"False","False"
"AVIMAG","VITLTMBF","AVIMAG","Vital Sign Time - before injection","TIME",NULL,NULL,"False","False"
"AVIMAG","VMATRSLT",NULL,"VMAT-2 PET Interpretation Report","CHAR","1",NULL,NULL,NULL
"AVPREGNANC","","AVPREGNANC","Early Imaging Pregnancy Test",NULL,NULL,NULL,NULL,NULL
"AVPREGNANC","CNO","AVPREGNANC","Site Number","NUMBER","12","0","True","False"
"AVPREGNANC","EVENT_ID","AVPREGNANC","Visit ID","CHAR","3",NULL,"True","False"
"AVPREGNANC","INFODT","AVPREGNANC","Assessment Date","DATE",NULL,NULL,"True","False"
"AVPREGNANC","LAST_UPDATE","AVPREGNANC","Date of most recent update to record","DATE",NULL,NULL,"True","False"
"AVPREGNANC","ORIG_ENTRY","AVPREGNANC","Date of original data entry","DATE",NULL,NULL,"True","False"
"AVPREGNANC","PAG_NAME","AVPREGNANC","Page Name","CHAR","12",NULL,"True","False"
"AVPREGNANC","PATNO","AVPREGNANC","Participant ID","NUMBER","18","0","True","False"
"AVPREGNANC","PREGAPPL","AVPREGNANC","Participant is a female of childbearing potential","NUMBER","1",NULL,"False","False"
"AVPREGNANC","QUERY","AVPREGNANC","Any open/pending queries on this record","NUMBER","1",NULL,"False","False"
"AVPREGNANC","REC_ID","AVPREGNANC","Record ID","CHAR","36",NULL,"True","True"
"AVPREGNANC","SPRGCNNEGBF","AVPREGNANCBL","Serum pregnancy result confirmed negative prior to Baseline 18F-AV-133 injection","NUMBER","12","0","False","False"
"AVPREGNANC","UPREGPRF","AVPREGNANC","Urine pregnancy test performed","NUMBER","1",NULL,"False","False"
"AVPREGNANC","UPREGPRFCM","AVPREGNANC","Urine pregnancy test not completed comment","CHAR",NULL,NULL,"False","False"
"AVPREGNANC","UPRGCNBF","AVPREGNANC","Urine pregnancy result confirmed prior to 18F-AV-133 injection","NUMBER","12","0","False","False"
"AVPREGNANC","UPRGCNBFCM","AVPREGNANC","No urine pregnancy result confirmed prior to 18F-AV-133 injection comment","CHAR",NULL,NULL,"False","False"
"AVPREGNANC","UPRGRSLT","AVPREGNANC","Urine pregnancy test result","NUMBER","1",NULL,"False","False"
"AVREPPREG","","AVREPPREG","Early Imaging Report of Pregnancy",NULL,NULL,NULL,NULL,NULL
"AVREPPREG","CNO","AVREPPREG","Site Number","NUMBER","12","0","True","False"
"AVREPPREG","EVENT_ID","AVREPPREG","Visit ID","CHAR","3",NULL,"True","False"
"AVREPPREG","INFODT","AVREPPREG","Assessment Date","DATE",NULL,NULL,"True","False"
"AVREPPREG","LAST_UPDATE","AVREPPREG","Date of most recent update to record","DATE",NULL,NULL,"True","False"
"AVREPPREG","ORIG_ENTRY","AVREPPREG","Date of original data entry","DATE",NULL,NULL,"True","False"
"AVREPPREG","PAG_NAME","AVREPPREG","Page Name","CHAR","12",NULL,"True","False"
"AVREPPREG","PATNO","AVREPPREG","Participant ID","NUMBER","18","0","True","False"
"AVREPPREG","PREG30AV","AVREPPREG","Pregnancy within 30 days of AV-133 injection?","NUMBER","12","0","False","False"
"AVREPPREG","PREGWHO","AVREPPREG","Participant or participant partner is pregnant?","NUMBER","12","0","False","False"
"AVREPPREG","QUERY","AVREPPREG","Any open/pending queries on this record","NUMBER","1",NULL,"False","False"
"AVREPPREG","REC_ID","AVREPPREG","Record ID","CHAR","36",NULL,"True","True"
"AVSCRNFAIL","","AVSCRNFAIL","Early Imaging Screen Fail",NULL,NULL,NULL,NULL,NULL
"AVSCRNFAIL","CNO","AVSCRNFAIL","Site Number","NUMBER","12","0","True","False"
"AVSCRNFAIL","EVENT_ID","AVSCRNFAIL","Visit ID","CHAR","3",NULL,"True","False"
"AVSCRNFAIL","INFODT","AVSCRNFAIL","Assessment Date","DATE",NULL,NULL,"True","False"
"AVSCRNFAIL","LAST_UPDATE","AVSCRNFAIL","Date of most recent update to record","DATE",NULL,NULL,"True","False"
"AVSCRNFAIL","ORIG_ENTRY","AVSCRNFAIL","Date of original data entry","DATE",NULL,NULL,"True","False"
"AVSCRNFAIL","PAG_NAME","AVSCRNFAIL","Page Name","CHAR","12",NULL,"True","False"
"AVSCRNFAIL","PATNO","AVSCRNFAIL","Participant ID","NUMBER","18","0","True","False"
"AVSCRNFAIL","QUERY","AVSCRNFAIL","Any open/pending queries on this record","NUMBER","1",NULL,"False","False"
"AVSCRNFAIL","REC_ID","AVSCRNFAIL","Record ID","CHAR","36",NULL,"True","True"
"AVSCRNFAIL","RSNDEC","AVSCRNFAIL","Reason for Declining","NUMBER","12","0","False","False"
"AVSCRNFAIL","SCFAILRSN","AVSCRNFAIL","Reason for screen fail","NUMBER","12","0","False","False"
"AVTEL","","AVTEL","Early Imaging Adverse Event Telephone Assessment",NULL,NULL,NULL,NULL,NULL
"AVTEL","AVCONDCTVIS","AVTEL","Was an LP, skin biopsy, or DaTscan or AV-133 imaging scan conducted at this visit?","NUMBER","1",NULL,"False","False"
"AVTEL","CNO","AVTEL","Site Number","NUMBER","12","0","True","False"
"AVTEL","CNTACTYN","AVTEL","Was contact made","NUMBER","1",NULL,"False","False"
"AVTEL","CNTRSN","AVTEL","Reason for no contact","NUMBER","12","0","False","False"
"AVTEL","CNTRSNCM","AVTEL","Reason for no contact comment","CHAR",NULL,NULL,"False","False"
"AVTEL","EVENT_ID","AVTEL","Visit ID","CHAR","3",NULL,"True","False"
"AVTEL","INFODT","AVTEL","Assessment Date","DATE",NULL,NULL,"True","False"
"AVTEL","LAST_UPDATE","AVTEL","Date of most recent update to record","DATE",NULL,NULL,"True","False"
"AVTEL","ORIG_ENTRY","AVTEL","Date of original data entry","DATE",NULL,NULL,"True","False"
"AVTEL","PAG_NAME","AVTEL","Page Name","CHAR","12",NULL,"True","False"
"AVTEL","PATNO","AVTEL","Participant ID","NUMBER","18","0","True","False"
"AVTEL","QUERY","AVTEL","Any open/pending queries on this record","NUMBER","1",NULL,"False","False"
"AVTEL","REC_ID","AVTEL","Record ID","CHAR","36",NULL,"True","True"
"AVTEL","TELAERPT","AVTEL","AE reported","NUMBER","1",NULL,"False","False"
"Biospecimen_Analysis","CLINICAL_EVENT",NULL,"Clinical Event","CHAR","20",NULL,NULL,NULL
"Biospecimen_Analysis","DIAGNOSIS",NULL,"Appropriate Diagnosis","CHAR","1",NULL,NULL,NULL
"Biospecimen_Analysis","GENDER",NULL,"Gender","CHAR","8",NULL,NULL,NULL
"Biospecimen_Analysis","PATNO",NULL,"Patient Number","CHAR","8",NULL,NULL,NULL
"Biospecimen_Analysis","PI_INSTITUTION",NULL,"Name of PI Instituion","CHAR","64",NULL,NULL,NULL
"Biospecimen_Analysis","PI_NAME",NULL,"Name of Project PI","CHAR","64",NULL,NULL,NULL
"Biospecimen_Analysis","PROJECTID",NULL,"Project ID for Analysis","NUMBER","8","0",NULL,NULL
"Biospecimen_Analysis","RUNDATE",NULL,"Run Date of Test","DATE",NULL,NULL,NULL,NULL
"Biospecimen_Analysis","TESTNAME",NULL,"Test Type","CHAR","36",NULL,NULL,NULL
"Biospecimen_Analysis","TESTVALUE",NULL,"Test Value","CHAR","36",NULL,NULL,NULL
"Biospecimen_Analysis","TYPE",NULL,"Sample Type","CHAR","36",NULL,NULL,NULL
"Biospecimen_Analysis","UNITS",NULL,"Units of Measure","CHAR","8",NULL,NULL,NULL
"BIOSPECIMEN_BRAIN_CATALOG","ALIAS_ID","","PATIENT NUMBER","NUMBER","6","0",NULL,NULL
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","","BRAIN REGION","CHAR","2",NULL,NULL,NULL
"BIOSPECIMEN_BRAIN_CATALOG","CLINICAL_EVENT","","CLINICAL EVENT (AUT)","CHAR","5",NULL,NULL,NULL
"BIOSPECIMEN_BRAIN_CATALOG","CUSTODIAL_DOMAIN","","CUSTODIAL DOMAIN ","CHAR","50",NULL,NULL,NULL
"BIOSPECIMEN_BRAIN_CATALOG","EXTRACTION_PROTOCOL","","EXTRACTION PROTOCOL","CHAR","1",NULL,NULL,NULL
"BIOSPECIMEN_BRAIN_CATALOG","HEMISPHERE","","BRAIN HEMISPHERE","CHAR","1",NULL,NULL,NULL
"BIOSPECIMEN_BRAIN_CATALOG","PREPARATION","","PREPARATION METHOD","CHAR","1",NULL,NULL,NULL
"BIOSPECIMEN_BRAIN_CATALOG","QUANTITY","","QUANTITY ","NUMBER","6","0",NULL,NULL
"BIOSPECIMEN_BRAIN_CATALOG","QUANTITY_UNITS","","QUANTITY UNITS","NUMBER","2","0",NULL,NULL
"BIOSPECIMEN_BRAIN_CATALOG","SPECIMEN_NO","","SPECIMEN NUMBER","NUMBER","50","0",NULL,NULL
"BIOSPECIMEN_BRAIN_CATALOG","TYPE","","SPECIMEN TYPE","CHAR","20",NULL,NULL,NULL
"BIOSPECIMEN_CELL_CATALOG","ADDTL_STOCK_AVAIL_ON_REQ",NULL,"Addition Stock Available upon Request","CHAR","10",NULL,NULL,NULL
"BIOSPECIMEN_CELL_CATALOG","ALIAS_ID",NULL,"Patient Number","CHAR","100",NULL,NULL,NULL
"BIOSPECIMEN_CELL_CATALOG","CELLS_PER_CONTAINER",NULL,"Cells per Container","NUMBER","10","0",NULL,NULL
"BIOSPECIMEN_CELL_CATALOG","CELL_TYPE",NULL,"Cell Type","CHAR","100",NULL,NULL,NULL
"BIOSPECIMEN_CELL_CATALOG","CLINICAL_EVENT",NULL,"Event Name","CHAR","100",NULL,NULL,NULL
"BIOSPECIMEN_CELL_CATALOG","CUSTODIAL_DOMAIN",NULL,"Custodial Domain","CHAR","20",NULL,NULL,NULL
"BIOSPECIMEN_CELL_CATALOG","FREEZING_MEDIA",NULL,"Freezing Media","CHAR","100",NULL,NULL,NULL
"BIOSPECIMEN_CELL_CATALOG","IDENTITY_TEST",NULL,"Identity Test Result","CHAR","100",NULL,NULL,NULL
"BIOSPECIMEN_CELL_CATALOG","KARYOTYPE",NULL,"Karotype Result","CHAR","100",NULL,NULL,NULL
"BIOSPECIMEN_CELL_CATALOG","KARYOTYPE_PROCEDURE",NULL,"Karotype Procedure","CHAR","100",NULL,NULL,NULL
"BIOSPECIMEN_CELL_CATALOG","MYCOPLASMA",NULL,"Mycoplasma Result","CHAR","100",NULL,NULL,NULL
"BIOSPECIMEN_CELL_CATALOG","NUM_AVAILABLE",NULL,"Num Aliquots Available","NUMBER","4","0",NULL,NULL
"BIOSPECIMEN_CELL_CATALOG","PARENT_CELL_TYPE",NULL,"Parent Cell Type","CHAR","100",NULL,NULL,NULL
"BIOSPECIMEN_CELL_CATALOG","PARENT_SPECIMEN_ID",NULL,"Parent Specimen ID","CHAR","100",NULL,NULL,NULL
"BIOSPECIMEN_CELL_CATALOG","PASSAGE_NUMBER_AT_FREEZE",NULL,"Passage Number at Freeze","NUMBER","3","0",NULL,NULL
"BIOSPECIMEN_CELL_CATALOG","PLURIPOTENCY",NULL,"Pluripotency Result","CHAR","100",NULL,NULL,NULL
"BIOSPECIMEN_CELL_CATALOG","QUANTITY",NULL,"Quantity","NUMBER","12","4",NULL,NULL
"BIOSPECIMEN_CELL_CATALOG","QUANTITY_UNITS",NULL,"Quantity Units","CHAR","100",NULL,NULL,NULL
"BIOSPECIMEN_CELL_CATALOG","REPROGRAMMING_METHOD",NULL,"Reprogramming Method","CHAR","100",NULL,NULL,NULL
"BIOSPECIMEN_CELL_CATALOG","SPECIMEN_NO",NULL,"Specimen Number","NUMBER","6","0",NULL,NULL
"BIOSPECIMEN_CELL_CATALOG","STERILITY_TEST",NULL,"Sterility Test Result","CHAR","100",NULL,NULL,NULL
"BIOSPECIMEN_CELL_CATALOG","TYPE",NULL,"Type","CHAR","100",NULL,NULL,NULL
"BIOSPECIMEN_CELL_CATALOG","VENDOR",NULL,"Cell Line Creator","CHAR","100",NULL,NULL,NULL
"BIOSPECIMEN_SLIDE_CATALOG","AUTOPSY SITE","","SITE NAME","CHAR","1",NULL,NULL,NULL
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","","BRAIN REGION","CHAR","2",NULL,NULL,NULL
"BIOSPECIMEN_SLIDE_CATALOG","FILE TYPE","","WHOLE SLIDE IMAGE FILE TYPE","CHAR","1",NULL,NULL,NULL
"BIOSPECIMEN_SLIDE_CATALOG","FILENAME","","IMAGE FILE NAME","CHAR","1",NULL,NULL,NULL
"BIOSPECIMEN_SLIDE_CATALOG","HEMISPHERE","","HEMISPHERE","CHAR","1",NULL,NULL,NULL
"BIOSPECIMEN_SLIDE_CATALOG","PATNO","","PATIENT  NUMBER","NUMBER","6","0",NULL,NULL
"BIOSPECIMEN_SLIDE_CATALOG","RESOLUTION","","WHOLE SLIDE IMAGE RESOLUTION ","CHAR","1",NULL,NULL,NULL
"BIOSPECIMEN_SLIDE_CATALOG","SCANNER","","WHOLE SLIDE IMAGE SCANNER NAME","CHAR","1",NULL,NULL,NULL
"BIOSPECIMEN_SLIDE_CATALOG","STAIN","","STAIN","CHAR","1",NULL,NULL,NULL
"CLCKDRAW","","CLCKDRAW","Clock Drawing",NULL,NULL,NULL,NULL,NULL
"CLCKDRAW","CLCK2HND","CLCKDRAW","Time - exactly 2 hands","NUMBER","12","0","False","False"
"CLCKDRAW","CLCKALNU","CLCKDRAW","Number - all 1-12 present","NUMBER","12","0","False","False"
"CLCKDRAW","CLCKNMRK","CLCKDRAW","Time - absence of marks","NUMBER","12","0","False","False"
"CLCKDRAW","CLCKNUED","CLCKDRAW","Spacing - numbers equally spaced from edge","NUMBER","12","0","False","False"
"CLCKDRAW","CLCKNUIN","CLCKDRAW","Number - numbers inside","NUMBER","12","0","False","False"
"CLCKDRAW","CLCKNUSP","CLCKDRAW","Spacing - numbers equally spaced from each other","NUMBER","12","0","False","False"
"CLCKDRAW","CLCKPII","CLCKDRAW","Time - one hand points to 2","NUMBER","12","0","False","False"
"CLCKDRAW","CLCKTOT","CLCKDRAW","Clock Drawing Total Score","NUMBER","12","0","False","False"
"CLCKDRAW","CNO","CLCKDRAW","Site Number","NUMBER","12","0","True","False"
"CLCKDRAW","EVENT_ID","CLCKDRAW","Visit ID","CHAR","3",NULL,"True","False"
"CLCKDRAW","INFODT","CLCKDRAW","Assessment Date","DATE",NULL,NULL,"True","False"
"CLCKDRAW","LAST_UPDATE","CLCKDRAW","Date of most recent update to record","DATE",NULL,NULL,"True","False"
"CLCKDRAW","ORIG_ENTRY","CLCKDRAW","Date of original data entry","DATE",NULL,NULL,"True","False"
"CLCKDRAW","PAG_NAME","CLCKDRAW","Page Name","CHAR","12",NULL,"True","False"
"CLCKDRAW","PATNO","CLCKDRAW","Participant ID","NUMBER","18","0","True","False"
"CLCKDRAW","QUERY","CLCKDRAW","Any open/pending queries on this record","NUMBER","1",NULL,"False","False"
"CLCKDRAW","REC_ID","CLCKDRAW","Record ID","CHAR","36",NULL,"True","True"
"CLINLAB","","CLINLAB","Clinical Labs",NULL,NULL,NULL,NULL,NULL
"CLINLAB","BLDLAB","CLINLAB","Blood for clinical labs","NUMBER","1",NULL,"False","False"
"CLINLAB","BLDLABCM","CLINLAB","Blood for clinical labs not collected comment","CHAR",NULL,NULL,"False","False"
"CLINLAB","BLDSHPDT",NULL,"Date shipped to central lab","DATE",NULL,NULL,NULL,NULL
"CLINLAB","CNO","CLINLAB","Site Number","NUMBER","12","0","True","False"
"CLINLAB","EVENT_ID","CLINLAB","Visit ID","CHAR","3",NULL,"True","False"
"CLINLAB","INFODT","CLINLAB","Assessment Date","DATE",NULL,NULL,"True","False"
"CLINLAB","LAST_UPDATE","CLINLAB","Date of most recent update to record","DATE",NULL,NULL,"True","False"
"CLINLAB","ORIG_ENTRY","CLINLAB","Date of original data entry","DATE",NULL,NULL,"True","False"
"CLINLAB","PAG_NAME","CLINLAB","Page Name","CHAR","12",NULL,"True","False"
"CLINLAB","PATNO","CLINLAB","Participant ID","NUMBER","18","0","True","False"
"CLINLAB","QUERY","CLINLAB","Any open/pending queries on this record","NUMBER","1",NULL,"False","False"
"CLINLAB","REC_ID","CLINLAB","Record ID","CHAR","36",NULL,"True","True"
"CNOPAT","",NULL,"Center - Participant",NULL,NULL,NULL,NULL,NULL
"CNOPAT","CNO",NULL,"Site Number","NUMBER","12","0","True","False"
